Image,Label
0_0.jpg,1
0_1.jpg,1
0_2.jpg,1
0_3.jpg,1
0_4.jpg,1
0_5.jpg,1
0_6.jpg,1
0_7.jpg,1
0_8.jpg,1
0_9.jpg,1
0_10.jpg,1
0_11.jpg,1
0_12.jpg,1
0_13.jpg,1
0_14.jpg,1
0_15.jpg,1
0_16.jpg,1
0_17.jpg,1
0_18.jpg,1
0_19.jpg,1
0_20.jpg,1
0_21.jpg,1
0_22.jpg,1
0_23.jpg,1
0_24.jpg,1
0_25.jpg,1
0_26.jpg,1
0_27.jpg,1
0_28.jpg,1
0_29.jpg,1
0_30.jpg,1
0_31.jpg,1
0_32.jpg,1
0_33.jpg,1
0_34.jpg,1
1_0.jpg,2
1_1.jpg,2
1_2.jpg,2
1_3.jpg,2
1_4.jpg,2
1_5.jpg,2
1_6.jpg,2
1_7.jpg,2
1_8.jpg,2
1_9.jpg,2
1_10.jpg,2
1_11.jpg,2
1_12.jpg,2
1_13.jpg,2
1_14.jpg,2
1_15.jpg,2
1_16.jpg,2
1_17.jpg,2
1_18.jpg,2
1_19.jpg,2
1_20.jpg,2
1_21.jpg,2
1_22.jpg,2
1_23.jpg,2
1_24.jpg,2
1_25.jpg,2
1_26.jpg,2
1_27.jpg,2
1_28.jpg,2
1_29.jpg,2
1_30.jpg,2
1_31.jpg,2
1_32.jpg,2
1_33.jpg,2
1_34.jpg,2
2_0.jpg,3
2_1.jpg,3
2_2.jpg,3
2_3.jpg,3
2_4.jpg,3
2_5.jpg,3
2_6.jpg,3
2_7.jpg,3
2_8.jpg,3
2_9.jpg,3
2_10.jpg,3
2_11.jpg,3
2_12.jpg,3
2_13.jpg,3
2_14.jpg,3
2_15.jpg,3
2_16.jpg,3
2_17.jpg,3
2_18.jpg,3
2_19.jpg,3
2_20.jpg,3
2_21.jpg,3
2_22.jpg,3
2_23.jpg,3
2_24.jpg,3
2_25.jpg,3
2_26.jpg,3
2_27.jpg,3
2_28.jpg,3
2_29.jpg,3
2_30.jpg,3
2_31.jpg,3
2_32.jpg,3
2_33.jpg,3
2_34.jpg,3
3_0.jpg,4
